Name of Location (Optional),Address (Optional),Zip / Postal Code (Optional),Country (Required),Latitude (Optional),Longitude (Optional),Weight (Optional),Remarks (Optional)
,,,Greece,38.2851,21.7881,101,
,,,Greece,38.2848,21.789,107,
,,,Greece,38.2837,21.7895,112,
,,,Greece,38.2825,21.7904,109,
,,,Greece,38.285,21.7837,109,
,,,Greece,38.2859,21.7853,91,
,,,Greece,38.2871,21.7843,108,
,,,Greece,38.2882,21.784,87,
,,,Greece,38.2892,21.7851,87,
,,,Greece,38.2888,21.7859,85,
,,,Greece,38.289,21.7873,79,
,,,Greece,38.289,21.7882,64,
,,,Greece,38.2889,21.789,84,
,,,Greece,38.2892,21.7892,73,
,,,Greece,38.2892,21.7892,83,
,,,Greece,38.2896,21.7893,90,
,,,Greece,38.2894,21.7888,84,
,,,Greece,38.2894,21.7888,79,
,,,Greece,38.2894,21.7883,99,
,,,Greece,38.2898,21.7879,106,
,,,Greece,38.2901,21.7881,83,
,,,Greece,38.2902,21.7889,82,
,,,Greece,38.2906,21.7892,90,
,,,Greece,38.2908,21.789,95,
,,,Greece,38.2899,21.789,85,
,,,Greece,38.2897,21.7901,90,
,,,Greece,38.2895,21.7906,95,
,,,Greece,38.2892,21.791,105,
,,,Greece,38.2893,21.7914,99,
,,,Greece,38.2907,21.7907,99,
,,,Greece,38.2919,21.7909,106,
,,,Greece,38.2908,21.7907,84,
,,,Greece,38.2896,21.7899,66,
,,,Greece,38.2883,21.79,87,
,,,Greece,38.2876,21.7892,93,
,,,Greece,38.2876,21.7891,59,
,,,Greece,38.2876,21.7898,66,
,,,Greece,38.2867,21.7899,72,
,,,Greece,38.2863,21.7896,79,
,,,Greece,38.2863,21.7896,93,
,,,Greece,38.2863,21.789,93,
,,,Greece,38.2867,21.7881,89,
,,,Greece,38.2866,21.7879,101,
,,,Greece,38.2867,21.7877,87,
,,,Greece,38.287,21.789,101,
,,,Greece,38.2872,21.791,87,
,,,Greece,38.2886,21.7936,93,
,,,Greece,38.2895,21.7949,87,
,,,Greece,38.2898,21.7945,99,
,,,Greece,38.2909,21.7944,90,
,,,Greece,38.2906,21.7944,87,
,,,Greece,38.2896,21.7944,81,
,,,Greece,38.2894,21.7945,95,
,,,Greece,38.2888,21.7937,93,
,,,Greece,38.2874,21.7912,82,
,,,Greece,38.287,21.7892,83,
,,,Greece,38.2872,21.7871,87,
,,,Greece,38.2889,21.7858,105,
,,,Greece,38.2901,21.7847,90,
,,,Greece,38.2899,21.7846,95,
,,,Greece,38.2899,21.7846,95,
,,,Greece,38.2897,21.7848,89,
,,,Greece,38.2898,21.7849,98,
,,,Greece,38.2901,21.7838,101,
,,,Greece,38.2887,21.7819,109,
,,,Greece,38.2873,21.7794,108,
,,,Greece,38.2862,21.7777,114,
,,,Greece,38.2857,21.7775,112,
,,,Greece,38.2858,21.7758,117,
,,,Greece,38.2863,21.7745,117,
,,,Greece,38.2863,21.7745,117,
