Name of Location (Optional),Address (Optional),Zip / Postal Code (Optional),Country (Required),Latitude (Optional),Longitude (Optional),Weight (Optional),Remarks (Optional)
,,,Greece,38.2851,21.7881,101,
,,,Greece,38.2848,21.789,107,
,,,Greece,38.2837,21.7895,112,
,,,Greece,38.2825,21.7904,109,
,,,Greece,38.285,21.7837,109,
,,,Greece,38.2859,21.7853,91,
,,,Greece,38.2871,21.7843,108,
,,,Greece,38.2882,21.784,87,
,,,Greece,38.2892,21.7851,87,
,,,Greece,38.2888,21.7859,85,
,,,Greece,38.289,21.7873,79,
,,,Greece,38.289,21.7882,64,
,,,Greece,38.2889,21.789,84,
,,,Greece,38.2892,21.7892,73,
,,,Greece,38.2892,21.7892,83,
,,,Greece,38.2896,21.7893,90,
,,,Greece,38.2894,21.7888,84,
,,,Greece,38.2894,21.7888,79,
,,,Greece,38.2894,21.7883,99,
,,,Greece,38.2898,21.7879,106,
,,,Greece,38.2901,21.7881,83,
,,,Greece,38.2902,21.7889,82,
,,,Greece,38.2906,21.7892,90,
,,,Greece,38.2908,21.789,95,
,,,Greece,38.2899,21.789,85,
,,,Greece,38.2897,21.7901,90,
,,,Greece,38.2895,21.7906,95,
,,,Greece,38.2892,21.791,105,
,,,Greece,38.2893,21.7914,99,
,,,Greece,38.2907,21.7907,99,
,,,Greece,38.2919,21.7909,106,
,,,Greece,38.2908,21.7907,84,
,,,Greece,38.2896,21.7899,66,
,,,Greece,38.2883,21.79,87,
,,,Greece,38.2876,21.7892,93,
,,,Greece,38.2876,21.7891,59,
,,,Greece,38.2876,21.7898,66,
,,,Greece,38.2867,21.7899,72,
,,,Greece,38.2863,21.7896,79,
,,,Greece,38.2863,21.7896,93,
,,,Greece,38.2863,21.789,93,
,,,Greece,38.2867,21.7881,89,
,,,Greece,38.2866,21.7879,101,
,,,Greece,38.2867,21.7877,87,
,,,Greece,38.287,21.789,101,
,,,Greece,38.2872,21.791,87,
,,,Greece,38.2886,21.7936,93,
,,,Greece,38.2895,21.7949,87,
,,,Greece,38.2898,21.7945,99,
,,,Greece,38.2909,21.7944,90,
,,,Greece,38.2906,21.7944,87,
,,,Greece,38.2896,21.7944,81,
,,,Greece,38.2894,21.7945,95,
,,,Greece,38.2888,21.7937,93,
,,,Greece,38.2874,21.7912,82,
,,,Greece,38.287,21.7892,83,
,,,Greece,38.2872,21.7871,87,
,,,Greece,38.2889,21.7858,105,
,,,Greece,38.2901,21.7847,90,
,,,Greece,38.2899,21.7846,95,
,,,Greece,38.2899,21.7846,95,
,,,Greece,38.2897,21.7848,89,
,,,Greece,38.2898,21.7849,98,
,,,Greece,38.2901,21.7838,101,
,,,Greece,38.2887,21.7819,109,
,,,Greece,38.2873,21.7794,108,
,,,Greece,38.2862,21.7777,114,
,,,Greece,38.2857,21.7775,112,
,,,Greece,38.2858,21.7758,117,
,,,Greece,38.2863,21.7745,117,
,,,Greece,38.2863,21.7745,117,
,,,Greece,38.2881,21.789,82,
,,,Greece,38.2881,21.7891,87,
,,,Greece,38.2881,21.7891,77,
,,,Greece,38.2881,21.7891,75,
,,,Greece,38.2881,21.7892,93,
,,,Greece,38.2881,21.7892,73,
,,,Greece,38.2881,21.789,81,
,,,Greece,38.2881,21.7888,89,
,,,Greece,38.2881,21.7886,84,
,,,Greece,38.2881,21.7884,78,
,,,Greece,38.2882,21.7885,103,
,,,Greece,38.2881,21.7885,89,
,,,Greece,38.2882,21.7886,100,
,,,Greece,38.2882,21.788,91,
,,,Greece,38.2882,21.7878,85,
,,,Greece,38.2882,21.7875,77,
,,,Greece,38.288,21.7873,79,
,,,Greece,38.2878,21.7873,88,
,,,Greece,38.2876,21.7874,70,
,,,Greece,38.2876,21.7878,84,
,,,Greece,38.2876,21.7881,75,
,,,Greece,38.2877,21.7884,72,
,,,Greece,38.2878,21.7884,78,
,,,Greece,38.2878,21.7884,89,
,,,Greece,38.2878,21.7883,72,
,,,Greece,38.2878,21.788,87,
,,,Greece,38.2877,21.7881,83,
,,,Greece,38.2878,21.7881,72,
,,,Greece,38.2878,21.7881,68,
,,,Greece,38.2877,21.7881,73,
,,,Greece,38.2877,21.7884,77,
,,,Greece,38.2876,21.7883,95,
,,,Greece,38.2876,21.7879,78,
,,,Greece,38.2876,21.7878,79,
,,,Greece,38.2876,21.7875,87,
,,,Greece,38.2878,21.7876,83,
,,,Greece,38.2878,21.7877,83,
,,,Greece,38.2878,21.7876,97,
,,,Greece,38.2878,21.7875,83,
,,,Greece,38.2879,21.7874,90,
,,,Greece,38.288,21.7871,91,
,,,Greece,38.2881,21.7868,82,
,,,Greece,38.288,21.7866,79,
,,,Greece,38.2878,21.7867,85,
,,,Greece,38.2877,21.7869,91,
,,,Greece,38.2875,21.787,97,
,,,Greece,38.2873,21.7871,90,
,,,Greece,38.2871,21.7873,90,
,,,Greece,38.2871,21.7876,84,
,,,Greece,38.2871,21.7879,97,
,,,Greece,38.2871,21.7883,76,
,,,Greece,38.2872,21.7884,78,
,,,Greece,38.2875,21.7884,79,
,,,Greece,38.2877,21.7884,79,
,,,Greece,38.2875,21.7884,79,
,,,Greece,38.2874,21.7884,75,
,,,Greece,38.2872,21.7884,82,
,,,Greece,38.2872,21.7883,89,
,,,Greece,38.287,21.7883,91,
,,,Greece,38.2868,21.788,99,
,,,Greece,38.2866,21.7879,83,
,,,Greece,38.2867,21.7881,78,
,,,Greece,38.2866,21.7884,83,
,,,Greece,38.2865,21.7886,83,
,,,Greece,38.2864,21.7889,101,
,,,Greece,38.2862,21.7891,87,
,,,Greece,38.2862,21.7892,78,
,,,Greece,38.2862,21.7895,93,
,,,Greece,38.2862,21.7897,85,
,,,Greece,38.2862,21.7899,75,
,,,Greece,38.2863,21.7898,90,
,,,Greece,38.2863,21.7895,95,
,,,Greece,38.2862,21.7893,97,
,,,Greece,38.2861,21.7892,91,
,,,Greece,38.286,21.7889,95,
,,,Greece,38.2859,21.7887,90,
,,,Greece,38.2857,21.7886,95,
,,,Greece,38.2855,21.7885,101,
,,,Greece,38.2852,21.7882,108,
,,,Greece,38.285,21.7877,109,
,,,Greece,38.2847,21.7872,106,
,,,Greece,38.2842,21.7872,118,
,,,Greece,38.2838,21.7875,112,
,,,Greece,38.2833,21.7874,116,
,,,Greece,38.2832,21.787,119,
,,,Greece,38.2836,21.7856,120,
,,,Greece,38.2839,21.7853,118,
,,,Greece,38.2841,21.7851,115,
,,,Greece,38.2846,21.7853,107,
,,,Greece,38.2849,21.7851,108,
,,,Greece,38.2851,21.7851,113,
,,,Greece,38.2853,21.7852,107,
,,,Greece,38.2852,21.7853,106,
,,,Greece,38.285,21.7851,113,
,,,Greece,38.2851,21.7848,102,
,,,Greece,38.2854,21.7846,108,
,,,Greece,38.2854,21.7844,109,
,,,Greece,38.2852,21.7841,109,
,,,Greece,38.2851,21.7837,117,
,,,Greece,38.2849,21.7834,113,
,,,Greece,38.2849,21.7834,119,
,,,Greece,38.2851,21.7839,109,
,,,Greece,38.2854,21.7845,99,
,,,Greece,38.2856,21.7849,103,
,,,Greece,38.2859,21.7854,109,
,,,Greece,38.2861,21.7858,113,
,,,Greece,38.2858,21.7861,115,
,,,Greece,38.2852,21.7865,101,
,,,Greece,38.2853,21.787,94,
,,,Greece,38.2855,21.7874,95,
,,,Greece,38.2857,21.7876,93,
,,,Greece,38.286,21.7873,100,
,,,Greece,38.2864,21.787,95,
,,,Greece,38.2866,21.787,90,
,,,Greece,38.2869,21.7873,89,
,,,Greece,38.2873,21.787,91,
,,,Greece,38.2877,21.7867,94,
,,,Greece,38.2882,21.7863,77,
,,,Greece,38.2886,21.786,90,
,,,Greece,38.2888,21.7861,93,
,,,Greece,38.2892,21.786,101,
,,,Greece,38.2894,21.7857,90,
,,,Greece,38.2892,21.7857,82,
,,,Greece,38.2889,21.786,96,
,,,Greece,38.2891,21.7861,81,
,,,Greece,38.2893,21.7864,87,
,,,Greece,38.2896,21.7863,91,
,,,Greece,38.2898,21.7863,95,
,,,Greece,38.29,21.7866,96,
,,,Greece,38.2901,21.7869,96,
,,,Greece,38.2901,21.7873,94,
,,,Greece,38.2903,21.7874,95,
,,,Greece,38.2903,21.7871,93,
,,,Greece,38.2904,21.7869,105,
,,,Greece,38.2908,21.7869,99,
,,,Greece,38.2912,21.7869,103,
,,,Greece,38.2912,21.7875,102,
,,,Greece,38.2911,21.7878,105,
,,,Greece,38.2912,21.7881,112,
,,,Greece,38.2914,21.7879,101,
,,,Greece,38.2915,21.7877,103,
,,,Greece,38.2917,21.788,100,
,,,Greece,38.2916,21.7876,109,
,,,Greece,38.2913,21.7876,102,
,,,Greece,38.2912,21.7872,99,
,,,Greece,38.2912,21.7872,97,
,,,Greece,38.2911,21.7872,111,
,,,Greece,38.2912,21.787,117,
,,,Greece,38.2915,21.7869,107,
,,,Greece,38.2925,21.7886,109,
,,,Greece,38.2928,21.7891,112,
,,,Greece,38.2931,21.7896,121,
,,,Greece,38.2934,21.79,110,
,,,Greece,38.294,21.7912,115,
,,,Greece,38.2944,21.7918,108,
,,,Greece,38.2944,21.7922,115,
,,,Greece,38.2941,21.7925,113,
,,,Greece,38.2938,21.7928,103,
,,,Greece,38.2935,21.7929,115,
,,,Greece,38.2932,21.7929,114,
,,,Greece,38.2929,21.7924,107,
,,,Greece,38.2929,21.792,108,
,,,Greece,38.2929,21.7917,116,
,,,Greece,38.2931,21.7916,120,
,,,Greece,38.2933,21.7918,111,
,,,Greece,38.2933,21.7923,109,
,,,Greece,38.2933,21.7927,107,
,,,Greece,38.2934,21.7929,109,
,,,Greece,38.2937,21.7929,106,
,,,Greece,38.2939,21.7928,106,
,,,Greece,38.2942,21.7925,103,
,,,Greece,38.2945,21.7922,109,
,,,Greece,38.2946,21.792,110,
,,,Greece,38.2946,21.7918,114,
,,,Greece,38.2943,21.7912,120,
,,,Greece,38.2935,21.7898,103,
,,,Greece,38.2933,21.7893,107,
,,,Greece,38.2929,21.7886,102,
,,,Greece,38.2925,21.7879,105,
,,,Greece,38.2921,21.7872,102,
,,,Greece,38.2918,21.7866,101,
,,,Greece,38.2915,21.7864,96,
,,,Greece,38.2913,21.7868,99,
,,,Greece,38.2909,21.7868,91,
,,,Greece,38.2904,21.7868,103,
,,,Greece,38.2902,21.787,88,
,,,Greece,38.2902,21.7875,105,
,,,Greece,38.2902,21.7877,96,
,,,Greece,38.2901,21.7881,94,
,,,Greece,38.29,21.7885,99,
,,,Greece,38.2898,21.7888,84,
,,,Greece,38.2896,21.7888,93,
,,,Greece,38.2896,21.7886,72,
,,,Greece,38.2896,21.7885,89,
,,,Greece,38.2895,21.7885,82,
,,,Greece,38.2895,21.7884,83,
,,,Greece,38.2895,21.7884,90,
,,,Greece,38.2896,21.7886,85,
,,,Greece,38.2896,21.7889,73,
,,,Greece,38.2896,21.789,85,
,,,Greece,38.2896,21.7892,79,
,,,Greece,38.2893,21.7895,67,
,,,Greece,38.2889,21.7895,80,
,,,Greece,38.2886,21.7896,89,
,,,Greece,38.2882,21.7899,87,
,,,Greece,38.2878,21.7899,95,
,,,Greece,38.2878,21.7902,91,
,,,Greece,38.2876,21.791,111,
,,,Greece,38.2877,21.7915,119,
,,,Greece,38.2882,21.7915,99,
,,,Greece,38.2885,21.7917,109,
,,,Greece,38.2888,21.7918,112,
,,,Greece,38.29,21.7918,106,
,,,Greece,38.2905,21.7917,91,
,,,Greece,38.291,21.7916,101,
,,,Greece,38.2915,21.7912,111,
,,,Greece,38.292,21.7909,97,
,,,Greece,38.2921,21.7907,109,
,,,Greece,38.2914,21.7906,107,
,,,Greece,38.2908,21.7906,96,
,,,Greece,38.2903,21.7906,79,
,,,Greece,38.29,21.7903,79,
,,,Greece,38.2899,21.7898,81,
,,,Greece,38.2898,21.7897,75,
,,,Greece,38.2898,21.7897,84,
,,,Greece,38.2895,21.7896,78,
,,,Greece,38.289,21.7896,67,
,,,Greece,38.2886,21.7897,65,
,,,Greece,38.2884,21.79,71,
,,,Greece,38.2884,21.7902,69,
,,,Greece,38.2883,21.7902,72,
,,,Greece,38.2882,21.79,76,
,,,Greece,38.2884,21.7898,89,
,,,Greece,38.2886,21.7898,71,
,,,Greece,38.289,21.7898,66,
,,,Greece,38.2891,21.79,75,
,,,Greece,38.2888,21.79,81,
,,,Greece,38.2883,21.79,67,
,,,Greece,38.2879,21.79,69,
,,,Greece,38.288,21.7898,66,
,,,Greece,38.2879,21.7896,65,
,,,Greece,38.2879,21.7897,65,
,,,Greece,38.2878,21.7896,63,
,,,Greece,38.2878,21.7896,79,
,,,Greece,38.2879,21.7898,78,
,,,Greece,38.2877,21.7894,91,
,,,Greece,38.2877,21.789,89,
,,,Greece,38.2876,21.7889,75,
,,,Greece,38.2877,21.7891,67,
,,,Greece,38.2876,21.7896,64,
,,,Greece,38.2875,21.7898,78,
,,,Greece,38.2872,21.7898,65,
,,,Greece,38.2871,21.7901,59,
,,,Greece,38.2871,21.7906,70,
,,,Greece,38.2869,21.7911,83,
,,,Greece,38.2869,21.7916,83,
,,,Greece,38.2868,21.792,89,
,,,Greece,38.2866,21.7922,85,
,,,Greece,38.2864,21.7923,105,
,,,Greece,38.2862,21.7923,91,
,,,Greece,38.2859,21.7923,97,
,,,Greece,38.2857,21.7924,91,
,,,Greece,38.2853,21.7924,97,
,,,Greece,38.2851,21.7925,91,
,,,Greece,38.285,21.7925,95,
,,,Greece,38.285,21.7925,93,
,,,Greece,38.2851,21.7925,115,
,,,Greece,38.2858,21.7924,89,
,,,Greece,38.2862,21.7923,93,
,,,Greece,38.2865,21.7923,79,
,,,Greece,38.2867,21.7921,83,
,,,Greece,38.2868,21.7918,70,
,,,Greece,38.2868,21.7914,81,
,,,Greece,38.2867,21.7913,83,
,,,Greece,38.2864,21.7913,83,
,,,Greece,38.2862,21.7912,82,
,,,Greece,38.286,21.7913,75,
,,,Greece,38.286,21.7915,77,
,,,Greece,38.2861,21.7917,74,
,,,Greece,38.2861,21.7918,75,
,,,Greece,38.2861,21.7918,77,
,,,Greece,38.2861,21.7918,71,
,,,Greece,38.2861,21.7918,89,
,,,Greece,38.2861,21.7917,108,
,,,Greece,38.286,21.7914,105,
,,,Greece,38.286,21.7912,96,
,,,Greece,38.286,21.7911,95,
,,,Greece,38.2862,21.791,107,
,,,Greece,38.2864,21.7911,101,
,,,Greece,38.2861,21.7914,97,
,,,Greece,38.2859,21.7915,101,
,,,Greece,38.2859,21.7915,90,
,,,Greece,38.2859,21.7915,93,
,,,Greece,38.2859,21.7915,115,
,,,Greece,38.2858,21.7914,101,
,,,Greece,38.2858,21.7913,107,
,,,Greece,38.2855,21.7913,99,
,,,Greece,38.285,21.7912,93,
,,,Greece,38.2851,21.7912,114,
,,,Greece,38.2852,21.7912,117,
,,,Greece,38.2853,21.7912,101,
,,,Greece,38.2855,21.7911,105,
,,,Greece,38.2857,21.7909,85,
,,,Greece,38.2859,21.7911,77,
,,,Greece,38.2861,21.7912,79,
,,,Greece,38.2864,21.7913,72,
,,,Greece,38.2867,21.7912,72,
,,,Greece,38.2868,21.791,83,
,,,Greece,38.2867,21.791,85,
,,,Greece,38.2865,21.791,93,
,,,Greece,38.2862,21.7909,94,
,,,Greece,38.2859,21.7909,102,
,,,Greece,38.2858,21.7908,101,
,,,Greece,38.2858,21.7905,89,
,,,Greece,38.2857,21.7904,79,
,,,Greece,38.2859,21.7902,83,
,,,Greece,38.2861,21.79,85,
,,,Greece,38.2861,21.79,84,
,,,Greece,38.2862,21.7898,72,
,,,Greece,38.2865,21.7895,85,
,,,Greece,38.2867,21.7898,78,
,,,Greece,38.287,21.7898,88,
,,,Greece,38.287,21.7893,88,
,,,Greece,38.287,21.7885,91,
,,,Greece,38.287,21.7878,91,
,,,Greece,38.287,21.7874,93,
,,,Greece,38.2877,21.7867,83,
,,,Greece,38.2882,21.7862,84,
,,,Greece,38.2887,21.7857,88,
,,,Greece,38.2893,21.7852,101,
,,,Greece,38.2899,21.7847,90,
,,,Greece,38.2903,21.7845,99,
,,,Greece,38.2903,21.7841,90,
,,,Greece,38.2899,21.7835,107,
,,,Greece,38.2895,21.7829,107,
,,,Greece,38.289,21.7823,97,
,,,Greece,38.2885,21.7816,100,
,,,Greece,38.288,21.7808,100,
,,,Greece,38.2877,21.7802,109,
,,,Greece,38.287,21.779,109,
,,,Greece,38.2865,21.7782,119,
,,,Greece,38.2853,21.7766,117,
,,,Greece,38.2859,21.7738,119,
,,,Greece,38.2832,21.7718,118,
